id_produto,nome_produto,preco,id_categoria,categoria,descricao_produto,descricao_categoria
1,Smartphone X200,2200,1,Eletrônicos,Smartphone com 128GB de armazenamento e câmera dupla.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
2,Fone de Ouvido Bluetooth Z,350,1,Eletrônicos,Fone de ouvido sem fio com cancelamento de ruído.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
3,Notebook Pro 15,4800,2,Informática,Notebook com processador i7 e 16GB de RAM.,Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
4,Smartwatch S10,1200,1,Eletrônicos,Relógio inteligente com monitoramento de saúde.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
5,Cafeteira Automática,400,3,Utilidades Domésticas,Cafeteira elétrica com temporizador programável.,Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
6,Air Fryer 3.2L,650,4,Cozinha,Fritadeira elétrica sem óleo com capacidade de 3.2 litros.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
7,Geladeira Frost Free,3100,5,Electrodomésticos,Geladeira com freezer independente e economia de energia.,Aparelhos essenciais para a rotina doméstica como geladeiras micro-ondas e máquinas de lavar.
8,Tênis Running Max,250,6,Calçados,Tênis esportivo com amortecimento para corrida.,Sapatos tênis e outros tipos de calçados para diferentes ocasiões e estilos.
9,Camiseta Básica Branca,50,7,Vestuário,Camiseta de algodão com corte regular.,Roupas para todas as estações estilos e ocasiões.
10,Mochila Executiva,200,8,Viagem,Mochila resistente à água com compartimento para laptop.,Produtos para facilitar viagens como malas mochilas e acessórios.
11,Livro Python para Todos,70,9,Livros,Guia completo para iniciantes em programação Python.,Títulos variados para leitura e aprendizado em diversos gêneros e áreas.
12,Console GameStation 5,4500,1,Eletrônicos,Videogame de última geração com gráficos avançados.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
13,Bicicleta Mountain Bike,1800,10,Esporte,Bicicleta de 21 marchas com suspensão dupla.,Equipamentos e acessórios para prática de atividades físicas e esportes.
14,Colchão Ortopédico Queen,2200,3,Utilidades Domésticas,Colchão com suporte ergonômico e espuma de alta densidade.,Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
15,TV Smart 55 4K,3000,1,Eletrônicos,Smart TV com resolução Ultra HD e Wi-Fi integrado.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
16,Caixa de Som Bluetooth,250,1,Eletrônicos,Som portátil com bateria de longa duração.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
17,Tablet MediaTab 10,1800,1,Eletrônicos,Tablet com tela de 10 polegadas e 64GB de memória.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
18,Jogo de Panelas Inox,500,4,Cozinha,Conjunto com 5 peças de aço inox.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
19,Carrinho de Bebê,700,11,Infantil,Carrinho dobrável com ajuste de posição.,Produtos voltados para crianças como roupas brinquedos e itens escolares.
20,Câmera Fotográfica XZ10,3500,1,Eletrônicos,Câmera compacta com zoom óptico de 20x.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
21,Jogo de Ferramentas 50 peças,150,12,Ferramentas,Kit completo com chaves alicates e brocas.,Equipamentos para manutenção reparos e construção.
22,Liquidificador Turbo Mix,150,4,Cozinha,Liquidificador de alta potência com 5 velocidades.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
23,Ventilador de Mesa 40cm,120,3,Utilidades Domésticas,Ventilador com 3 velocidades e inclinação ajustável.,Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
24,Relógio de Pulso Clássico,250,13,Moda,Relógio analógico com pulseira de couro.,Acessórios e itens de estilo para complementar visuais e tendências.
25,Impressora Multifuncional Jet,800,2,Informática,Impressora com scanner e conectividade Wi-Fi.,Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
26,Batedeira Planetária Pro,450,4,Cozinha,Batedeira com 8 velocidades e tigela de inox.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
27,Armário de Cozinha 3 portas,850,14,Móveis,Armário com design compacto e prateleiras internas.,Itens para mobiliar e decorar ambientes internos e externos.
28,Mouse Gamer RGB,180,2,Informática,Mouse com iluminação RGB e alta precisão.,Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
29,Torradeira Elétrica,130,4,Cozinha,Torradeira com ajuste de temperatura e descongelamento.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
30,Colcha de Casal Floral,200,15,Decoração,Colcha estampada com tecido 100% algodão.,Objetos e acessórios para personalizar e embelezar espaços.
31,Toalha de Banho Luxo,100,15,Decoração,Toalha grande com toque macio e alta absorção.,Objetos e acessórios para personalizar e embelezar espaços.
32,Churrasqueira Elétrica,300,4,Cozinha,Churrasqueira portátil com controle de temperatura.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
33,Mesa para Escritório,400,14,Móveis,Mesa com design moderno e espaço para organizar cabos.,Itens para mobiliar e decorar ambientes internos e externos.
34,Roteador Wi-Fi AC1200,180,2,Informática,Roteador com alta velocidade e amplo alcance.,Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
35,Jogo de Cama Queen 4 peças,280,15,Decoração,Conjunto de lençol com elástico e fronhas.,Objetos e acessórios para personalizar e embelezar espaços.
36,Smart Lamp RGB,300,1,Eletrônicos,Lâmpada inteligente com controle por aplicativo.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
37,Balança Digital,100,16,Cuidados Pessoais,Balança para controle de peso com visor iluminado.,Produtos de higiene e bem-estar como cremes perfumes e kits de barbear.
38,Cadeira Gamer Pro,1000,14,Móveis,Cadeira ergonômica com ajuste de altura e inclinação.,Itens para mobiliar e decorar ambientes internos e externos.
39,Espremedor de Frutas,110,4,Cozinha,Espremedor elétrico com bico anti-gotejamento.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
40,Tábua de Passar Roupas,100,3,Utilidades Domésticas,Tábua dobrável com ajuste de altura.,Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
41,Patinete Elétrico Speedy,1500,10,Esporte,Patinete dobrável com bateria recarregável.,Equipamentos e acessórios para prática de atividades físicas e esportes.
42,Drone Vision 4K,3200,1,Eletrônicos,Drone com câmera de alta resolução e controle remoto.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
43,Purificador de Água Slim,300,4,Cozinha,Purificador compacto com filtro de carvão ativado.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
44,Teclado Mecânico RGB,350,2,Informática,Teclado com switches mecânicos e iluminação colorida.,Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
45,Espelho de Parede Redondo,200,15,Decoração,Espelho com moldura de madeira.,Objetos e acessórios para personalizar e embelezar espaços.
46,Lustre de Cristal,1200,15,Decoração,Luminária suspensa com acabamento elegante.,Objetos e acessórios para personalizar e embelezar espaços.
47,Tapete Sala Grande,250,15,Decoração,Tapete macio e antiderrapante.,Objetos e acessórios para personalizar e embelezar espaços.
48,Carregador Portátil 10.000mAh,100,1,Eletrônicos,Power bank com duas portas USB.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
49,Cadeira de Praia,150,10,Esporte,Cadeira dobrável leve e resistente.,Equipamentos e acessórios para prática de atividades físicas e esportes.
50,Fogão 4 bocas,1200,4,Cozinha,Fogão a gás com acendimento automático.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
51,Blusa de Frio Moletom,150,7,Vestuário,Blusa com capuz e bolso canguru.,Roupas para todas as estações estilos e ocasiões.
52,Cômoda com 5 Gavetas,750,14,Móveis,Cômoda espaçosa com acabamento moderno.,Itens para mobiliar e decorar ambientes internos e externos.
53,Pipoqueira Elétrica,120,4,Cozinha,Pipoqueira sem óleo com preparo rápido.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
54,Jogo de Toalhas 5 peças,150,15,Decoração,Conjunto de toalhas para banho e rosto.,Objetos e acessórios para personalizar e embelezar espaços.
55,Lixeira de Cozinha 20L,80,3,Utilidades Domésticas,Lixeira com pedal e tampa removível.,Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
56,Smartwatch Fitness Tracker,700,1,Eletrônicos,Monitore sua saúde com estilo.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
57,Conjunto de Panelas Antiaderentes,400,4,Cozinha,Dê um toque especial às suas receitas.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
58,Luminária de Mesa LED,150,17,Iluminação,Ilumine seu espaço com eficiência.,Luminárias lâmpadas e outros produtos para clarear e decorar ambientes.
59,Churrasqueira Portátil a Carvão,200,18,Casa,Perfeita para churrascos ao ar livre.,Itens variados para uso doméstico e organização do lar.
60,Secador de Cabelo Profissional,180,19,Beleza,Potência e eficiência para o dia a dia.,Cosméticos maquiagens e acessórios para cuidados estéticos.
61,Cadeira Gamer Ajustável,850,20,Escritório,Conforto para longas horas de jogo.,Móveis e materiais para escritórios e estudos.
62,Tábua de Corte de Bambu,80,4,Cozinha,Durável e ecológica.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
63,Smartphone com Câmera Tripla,2800,1,Eletrônicos,Desempenho incrível em suas mãos.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
64,Livro de Receitas Veganas,50,9,Livros,Descubra novas opções deliciosas.,Títulos variados para leitura e aprendizado em diversos gêneros e áreas.
65,Fone de Ouvido Bluetooth,300,1,Eletrônicos,Sons claros e imersivos.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
66,Mochila Antifurto para Notebook,250,21,Acessórios,Segurança e praticidade para viagens.,Itens complementares para estilo e funcionalidade  como bolsas carteiras e relógios.
67,Conjunto de Toalhas de Algodão,120,18,Casa,Suavidade e absorção garantidas.,Itens variados para uso doméstico e organização do lar.
68,Tapete Antiderrapante para Sala,200,18,Casa,Estilo e segurança para qualquer ambiente.,Itens variados para uso doméstico e organização do lar.
69,Garrafa de Água com Filtro,90,10,Esporte,Ideal para uma hidratação saudável.,Equipamentos e acessórios para prática de atividades físicas e esportes.
70,Conjunto de Colheres de Medida,80,4,Cozinha,Essencial para precisão culinária.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
71,Tablet de Desenho Digital,350,1,Eletrônicos,Crie suas melhores ideias.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
72,Relógio de Pulso Clássico,250,13,Moda,Elegância para o dia a dia.,Acessórios e itens de estilo para complementar visuais e tendências.
73,Espelho com Luz LED,300,19,Beleza,Perfeito para maquiagem detalhada.,Cosméticos maquiagens e acessórios para cuidados estéticos.
74,Câmera de Segurança Wi-Fi,300,22,Segurança,Proteja sua casa com tecnologia avançada.,Produtos para proteção e monitoramento como câmeras e alarmes.
75,Carregador Sem Fio Rápido,180,1,Eletrônicos,Praticidade na hora de carregar.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
76,Cortador de Legumes Multifuncional,150,4,Cozinha,Facilidade na preparação de refeições.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
77,Colchão Inflável com Bomba Elétrica,400,18,Casa,Ideal para hóspedes inesperados.,Itens variados para uso doméstico e organização do lar.
78,Roteador Wi-Fi de Alta Velocidade,250,1,Eletrônicos,Conexão estável para toda a casa.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
79,Casaco de Moletom Unissex,130,13,Moda,Conforto para qualquer estação.,Acessórios e itens de estilo para complementar visuais e tendências.
80,Kit de Jardinagem com Ferramentas,180,18,Casa,Para cuidar do seu jardim com estilo.,Itens variados para uso doméstico e organização do lar.
81,Smart TV 4K UHD,2800,1,Eletrônicos,Experiência de cinema em sua sala.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
82,Luva de Cozinha Resistente ao Calor,80,4,Cozinha,Proteção para mãos na hora de cozinhar.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
83,Conjunto de Pesos para Academia,350,10,Esporte,Torne seu treino mais eficiente.,Equipamentos e acessórios para prática de atividades físicas e esportes.
84,Cafeteira Elétrica Programável,550,4,Cozinha,Acorde com café fresco todos os dias.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
85,Mouse Ergonômico Sem Fio,120,1,Eletrônicos,Conforto e precisão no trabalho.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
86,Bicicleta Dobrável para Adultos,1500,10,Esporte,Praticidade e transporte sustentável.,Equipamentos e acessórios para prática de atividades físicas e esportes.
87,Conjunto de Frigideiras Antiaderentes,250,4,Cozinha,Cozinhe sem grudar.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
88,Barraca de Camping Impermeável,500,10,Esporte,Ideal para aventuras ao ar livre.,Equipamentos e acessórios para prática de atividades físicas e esportes.
89,Conjunto de Talheres Inox,120,4,Cozinha,Design sofisticado para sua mesa.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
90,Cubo de Atividades para Crianças,100,23,Brinquedos,Entretenha e eduque os pequenos.,Itens para diversão e aprendizado infantil.
91,Carrinho de Bebê Dobrável,850,24,Bebê,Praticidade para pais modernos.,Produtos para cuidados e conforto de bebês como roupas berços e mamadeiras.
92,Canivete Multiuso com 12 Funções,150,10,Esporte,Companheiro para todas as situações.,Equipamentos e acessórios para prática de atividades físicas e esportes.
93,Almofada Ortopédica para Cadeira,100,18,Casa,Conforto para longos períodos sentado.,Itens variados para uso doméstico e organização do lar.
94,Pincéis de Maquiagem Profissionais,120,19,Beleza,Aplicação perfeita para qualquer look.,Cosméticos maquiagens e acessórios para cuidados estéticos.
95,Organizador de Mesa Giratório,150,20,Escritório,Mantenha tudo ao seu alcance.,Móveis e materiais para escritórios e estudos.
96,Sanduicheira 2 em 1,130,4,Cozinha,Prepare lanches deliciosos em minutos.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
97,Smartwatch com Oxímetro,750,1,Eletrônicos,Monitore sua saúde em tempo real.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
98,Camiseta com Proteção UV,90,10,Esporte,Perfeita para atividades ao ar livre.,Equipamentos e acessórios para prática de atividades físicas e esportes.
99,Conjunto de Rodízios para Móveis,50,18,Casa,Fácil movimentação de móveis pesados.,Itens variados para uso doméstico e organização do lar.
100,Adaptador Universal de Tomadas,40,8,Viagem,Compatível com diversos países.,Produtos para facilitar viagens como malas mochilas e acessórios.
101,Ferro de Passar Roupa a Vapor,150,18,Casa,Roupas impecáveis com facilidade.,Itens variados para uso doméstico e organização do lar.
102,Grelha para Forno Inox,180,4,Cozinha,Perfeita para assados crocantes.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
103,Jaqueta Impermeável com Capuz,350,10,Esporte,Ideal para dias de chuva.,Equipamentos e acessórios para prática de atividades físicas e esportes.
104,Câmera Instantânea com Filme,500,1,Eletrônicos,Registre memórias de forma divertida.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
105,Kit de Velas Aromáticas Decorativas,70,18,Casa,Aromatize e decore ao mesmo tempo.,Itens variados para uso doméstico e organização do lar.
